,param,candle,stoch,pivot,decision
300,param2,bearish,os,pdl-s1,no_trade
301,param2,bearish,os,s1-pdl,no_trade
302,param2,bearish,os,pdl-s2,buy
303,param2,bearish,os,s1-s2,no_trade
304,param2,bearish,os,s2-s3,no_trade
305,param2,bearish,os,< s3,no_trade
306,param2,bearish,nu,> r3,no_trade
307,param2,bearish,nu,r3-r2,no_trade
308,param2,bearish,nu,r2-pdh,no_trade
309,param2,bearish,nu,r2-r1,no_trade
310,param2,bearish,nu,pdh-r1,no_trade
311,param2,bearish,nu,r1-pdh,no_trade
312,param2,bearish,nu,r1-tc,no_trade
313,param2,bearish,nu,pdh-tc,no_trade
314,param2,bearish,nu,tc-pp,no_trade
315,param2,bearish,nu,pp-bc,no_trade
316,param2,bearish,nu,bc-pdl,sell
317,param2,bearish,nu,bc-s1,sell
318,param2,bearish,nu,pdl-s1,buy
319,param2,bearish,nu,s1-pdl,buy
320,param2,bearish,nu,pdl-s2,no_trade
321,param2,bearish,nu,s1-s2,buy
322,param2,bearish,nu,s2-s3,buy
323,param2,bearish,nu,< s3,no_trade
324,param2 alt,bullish,ob,> r3,no_trade
325,param2 alt,bullish,ob,r3-r2,no_trade
326,param2 alt,bullish,ob,r2-pdh,no_trade
327,param2 alt,bullish,ob,r2-r1,no_trade
328,param2 alt,bullish,ob,pdh-r1,no_trade
329,param2 alt,bullish,ob,r1-pdh,no_trade
330,param2 alt,bullish,ob,r1-tc,no_trade
331,param2 alt,bullish,ob,pdh-tc,no_trade
332,param2 alt,bullish,ob,tc-pp,no_trade
333,param2 alt,bullish,ob,pp-bc,no_trade
334,param2 alt,bullish,ob,bc-pdl,no_trade
335,param2 alt,bullish,ob,bc-s1,no_trade
336,param2 alt,bullish,ob,pdl-s1,no_trade
337,param2 alt,bullish,ob,s1-pdl,no_trade
338,param2 alt,bullish,ob,pdl-s2,no_trade
339,param2 alt,bullish,ob,s1-s2,no_trade
340,param2 alt,bullish,ob,s2-s3,no_trade
341,param2 alt,bullish,ob,< s3,no_trade
342,param2 alt,bullish,os,> r3,no_trade
343,param2 alt,bullish,os,r3-r2,no_trade
344,param2 alt,bullish,os,r2-pdh,no_trade
345,param2 alt,bullish,os,r2-r1,no_trade
346,param2 alt,bullish,os,pdh-r1,no_trade
347,param2 alt,bullish,os,r1-pdh,no_trade
348,param2 alt,bullish,os,r1-tc,no_trade
349,param2 alt,bullish,os,pdh-tc,no_trade
350,param2 alt,bullish,os,tc-pp,no_trade
351,param2 alt,bullish,os,pp-bc,no_trade
352,param2 alt,bullish,os,bc-pdl,no_trade
353,param2 alt,bullish,os,bc-s1,no_trade
354,param2 alt,bullish,os,pdl-s1,no_trade
355,param2 alt,bullish,os,s1-pdl,no_trade
356,param2 alt,bullish,os,pdl-s2,no_trade
357,param2 alt,bullish,os,s1-s2,no_trade
358,param2 alt,bullish,os,s2-s3,no_trade
359,param2 alt,bullish,os,< s3,no_trade
360,param2 alt,bullish,nu,> r3,no_trade
361,param2 alt,bullish,nu,r3-r2,no_trade
362,param2 alt,bullish,nu,r2-pdh,no_trade
363,param2 alt,bullish,nu,r2-r1,no_trade
364,param2 alt,bullish,nu,pdh-r1,no_trade
365,param2 alt,bullish,nu,r1-pdh,no_trade
366,param2 alt,bullish,nu,r1-tc,no_trade
367,param2 alt,bullish,nu,pdh-tc,no_trade
368,param2 alt,bullish,nu,tc-pp,no_trade
369,param2 alt,bullish,nu,pp-bc,no_trade
370,param2 alt,bullish,nu,bc-pdl,no_trade
371,param2 alt,bullish,nu,bc-s1,no_trade
372,param2 alt,bullish,nu,pdl-s1,no_trade
373,param2 alt,bullish,nu,s1-pdl,no_trade
374,param2 alt,bullish,nu,pdl-s2,no_trade
375,param2 alt,bullish,nu,s1-s2,no_trade
376,param2 alt,bullish,nu,s2-s3,no_trade
377,param2 alt,bullish,nu,< s3,no_trade
378,param2 alt,bearish,ob,> r3,no_trade
379,param2 alt,bearish,ob,r3-r2,no_trade
380,param2 alt,bearish,ob,r2-pdh,no_trade
381,param2 alt,bearish,ob,r2-r1,no_trade
382,param2 alt,bearish,ob,pdh-r1,no_trade
383,param2 alt,bearish,ob,r1-pdh,no_trade
384,param2 alt,bearish,ob,r1-tc,no_trade
385,param2 alt,bearish,ob,pdh-tc,no_trade
386,param2 alt,bearish,ob,tc-pp,buy
387,param2 alt,bearish,ob,pp-bc,no_trade
388,param2 alt,bearish,ob,bc-pdl,no_trade
389,param2 alt,bearish,ob,bc-s1,no_trade
390,param2 alt,bearish,ob,pdl-s1,no_trade
391,param2 alt,bearish,ob,s1-pdl,no_trade
392,param2 alt,bearish,ob,pdl-s2,no_trade
393,param2 alt,bearish,ob,s1-s2,no_trade
394,param2 alt,bearish,ob,s2-s3,no_trade
395,param2 alt,bearish,ob,< s3,no_trade
396,param2 alt,bearish,os,> r3,no_trade
397,param2 alt,bearish,os,r3-r2,no_trade
398,param2 alt,bearish,os,r2-pdh,no_trade
399,param2 alt,bearish,os,r2-r1,no_trade
400,param2 alt,bearish,os,pdh-r1,no_trade
401,param2 alt,bearish,os,r1-pdh,no_trade
402,param2 alt,bearish,os,r1-tc,no_trade
403,param2 alt,bearish,os,pdh-tc,no_trade
404,param2 alt,bearish,os,tc-pp,no_trade
405,param2 alt,bearish,os,pp-bc,no_trade
406,param2 alt,bearish,os,bc-pdl,no_trade
407,param2 alt,bearish,os,bc-s1,no_trade
408,param2 alt,bearish,os,pdl-s1,no_trade
409,param2 alt,bearish,os,s1-pdl,no_trade
410,param2 alt,bearish,os,pdl-s2,no_trade
411,param2 alt,bearish,os,s1-s2,no_trade
412,param2 alt,bearish,os,s2-s3,no_trade
413,param2 alt,bearish,os,< s3,no_trade
414,param2 alt,bearish,nu,> r3,no_trade
415,param2 alt,bearish,nu,r3-r2,no_trade
416,param2 alt,bearish,nu,r2-pdh,no_trade
417,param2 alt,bearish,nu,r2-r1,no_trade
418,param2 alt,bearish,nu,pdh-r1,no_trade
419,param2 alt,bearish,nu,r1-pdh,no_trade
420,param2 alt,bearish,nu,r1-tc,no_trade
421,param2 alt,bearish,nu,pdh-tc,no_trade
422,param2 alt,bearish,nu,tc-pp,no_trade
423,param2 alt,bearish,nu,pp-bc,no_trade
424,param2 alt,bearish,nu,bc-pdl,no_trade
425,param2 alt,bearish,nu,bc-s1,no_trade
426,param2 alt,bearish,nu,pdl-s1,no_trade
427,param2 alt,bearish,nu,s1-pdl,no_trade
428,param2 alt,bearish,nu,pdl-s2,no_trade
429,param2 alt,bearish,nu,s1-s2,buy
430,param2 alt,bearish,nu,s2-s3,no_trade
431,param2 alt,bearish,nu,< s3,no_trade
432,param3,bullish,ob,> r3,no_trade
433,param3,bullish,ob,r3-r2,no_trade
434,param3,bullish,ob,r2-pdh,no_trade
435,param3,bullish,ob,r2-r1,sell
436,param3,bullish,ob,pdh-r1,no_trade
437,param3,bullish,ob,r1-pdh,no_trade
438,param3,bullish,ob,r1-tc,no_trade
439,param3,bullish,ob,pdh-tc,no_trade
440,param3,bullish,ob,tc-pp,no_trade
441,param3,bullish,ob,pp-bc,no_trade
442,param3,bullish,ob,bc-pdl,no_trade
443,param3,bullish,ob,bc-s1,no_trade
444,param3,bullish,ob,pdl-s1,no_trade
445,param3,bullish,ob,s1-pdl,no_trade
446,param3,bullish,ob,pdl-s2,no_trade
447,param3,bullish,ob,s1-s2,no_trade
448,param3,bullish,ob,s2-s3,no_trade
449,param3,bullish,ob,< s3,no_trade
