,param,candle,stoch,pivot,decision
317,param2,bearish,nu,bc-s1,buy
318,param2,bearish,nu,pdl-s1,buy
319,param2,bearish,nu,s1-pdl,buy
320,param2,bearish,nu,pdl-s2,buy
321,param2,bearish,nu,s1-s2,buy
322,param2,bearish,nu,s2-s3,buy
323,param2,bearish,nu,< s3,buy
324,param2 alt,bullish,ob,> r3,sell
325,param2 alt,bullish,ob,r3-r2,sell
326,param2 alt,bullish,ob,r2-pdh,sell
327,param2 alt,bullish,ob,r2-r1,sell
328,param2 alt,bullish,ob,pdh-r1,sell
329,param2 alt,bullish,ob,r1-pdh,sell
330,param2 alt,bullish,ob,r1-tc,sell
331,param2 alt,bullish,ob,pdh-tc,sell
332,param2 alt,bullish,ob,tc-pp,sell
333,param2 alt,bullish,ob,pp-bc,sell
334,param2 alt,bullish,ob,bc-pdl,sell
335,param2 alt,bullish,ob,bc-s1,sell
336,param2 alt,bullish,ob,pdl-s1,sell
337,param2 alt,bullish,ob,s1-pdl,sell
338,param2 alt,bullish,ob,pdl-s2,sell
339,param2 alt,bullish,ob,s1-s2,sell
340,param2 alt,bullish,ob,s2-s3,sell
341,param2 alt,bullish,ob,< s3,sell
342,param2 alt,bullish,os,> r3,sell
343,param2 alt,bullish,os,r3-r2,sell
344,param2 alt,bullish,os,r2-pdh,sell
345,param2 alt,bullish,os,r2-r1,sell
346,param2 alt,bullish,os,pdh-r1,sell
347,param2 alt,bullish,os,r1-pdh,sell
348,param2 alt,bullish,os,r1-tc,sell
349,param2 alt,bullish,os,pdh-tc,sell
350,param2 alt,bullish,os,tc-pp,sell
351,param2 alt,bullish,os,pp-bc,sell
352,param2 alt,bullish,os,bc-pdl,sell
353,param2 alt,bullish,os,bc-s1,sell
354,param2 alt,bullish,os,pdl-s1,sell
355,param2 alt,bullish,os,s1-pdl,sell
356,param2 alt,bullish,os,pdl-s2,sell
357,param2 alt,bullish,os,s1-s2,sell
358,param2 alt,bullish,os,s2-s3,sell
359,param2 alt,bullish,os,< s3,sell
360,param2 alt,bullish,nu,> r3,sell
361,param2 alt,bullish,nu,r3-r2,sell
362,param2 alt,bullish,nu,r2-pdh,sell
363,param2 alt,bullish,nu,r2-r1,sell
364,param2 alt,bullish,nu,pdh-r1,sell
365,param2 alt,bullish,nu,r1-pdh,sell
366,param2 alt,bullish,nu,r1-tc,sell
367,param2 alt,bullish,nu,pdh-tc,sell
368,param2 alt,bullish,nu,tc-pp,sell
369,param2 alt,bullish,nu,pp-bc,sell
370,param2 alt,bullish,nu,bc-pdl,sell
371,param2 alt,bullish,nu,bc-s1,sell
372,param2 alt,bullish,nu,pdl-s1,sell
373,param2 alt,bullish,nu,s1-pdl,sell
