para,candle,stoch,level,signal,cpr
param4,bearish,os,pdl-s2,no_trade,
param4,bearish,os,s1-s2,sell,sl will be 15 min close abv vwap then take reversal trade  sl will be low of entry candle on 15 min close
param4,bearish,os,s2-s3,sell,
param4,bearish,os,< s3,buy,
param4,bearish,nu,> r3,no_trade,
param4,bearish,nu,r3-r2,no_trade,
param4,bearish,nu,r2-pdh,no_trade,
param4,bearish,nu,r2-r1,sell,
param4,bearish,nu,pdh-r1,no_trade,
param4,bearish,nu,r1-pdh,no_trade,
param4,bearish,nu,r1-tc,no_trade,
param4,bearish,nu,pdh-tc,buy,
param4,bearish,nu,tc-pp,buy,
param4,bearish,nu,pp-bc,sell,
param4,bearish,nu,bc-pdl,sell,
param4,bearish,nu,bc-s1,buy,
param4,bearish,nu,pdl-s1,buy,
param4,bearish,nu,s1-pdl,sell,sl will be 15 min close abv vwap then take reversal trade  sl will be low of entry candle on 15 min close
param4,bearish,nu,pdl-s2,sell,
param4,bearish,nu,s1-s2,sell,sl will be 15 min close abv vwap then take reversal trade  sl will be low of entry candle on 15 min close
param4,bearish,nu,s2-s3,buy,
param4,bearish,nu,< s3,no_trade,c cpr < p cpr= buy 
