,yesterdays_candle,todays_candle,condition,candle_type,script
457,pdh-tc,pdh-tc,sell,bullish,nifty
458,tc-pp,pdh-tc,sell,bullish,nifty
459,pp-bc,pdh-tc,buy,bullish,nifty
460,bc-pdl,pdh-tc,sell,bullish,nifty
461,bc-s1,pdh-tc,sell,bullish,nifty
462,pdl-s1,pdh-tc,sell,bullish,nifty
463,s1-pdl,pdh-tc,sell,bullish,nifty
464,pdl-s2,pdh-tc,sell,bullish,nifty
465,s1-s2,pdh-tc,sell,bullish,nifty
466,s2-s3,pdh-tc,sell,bullish,nifty
467,< s3,pdh-tc,sell,bullish,nifty
468,> r3,tc-pp,buy,bullish,nifty
469,r3-r2,tc-pp,sell,bullish,nifty
470,r2-pdh,tc-pp,sell,bullish,nifty
471,r2-r1,tc-pp,sell,bullish,nifty
472,pdh-r1,tc-pp,sell,bullish,nifty
473,r1-pdh,tc-pp,sell,bullish,nifty
474,r1-tc,tc-pp,buy,bullish,nifty
475,pdh-tc,tc-pp,buy,bullish,nifty
476,tc-pp,tc-pp,sell,bullish,nifty
477,pp-bc,tc-pp,buy,bullish,nifty
478,bc-pdl,tc-pp,sell,bullish,nifty
479,bc-s1,tc-pp,sell,bullish,nifty
480,pdl-s1,tc-pp,sell,bullish,nifty
481,s1-pdl,tc-pp,sell,bullish,nifty
482,pdl-s2,tc-pp,sell,bullish,nifty
483,s1-s2,tc-pp,buy,bullish,nifty
484,s2-s3,tc-pp,sell,bullish,nifty
485,< s3,tc-pp,sell,bullish,nifty
486,> r3,pp-bc,buy,bullish,nifty
487,r3-r2,pp-bc,buy,bullish,nifty
488,r2-pdh,pp-bc,buy,bullish,nifty
489,r2-r1,pp-bc,buy,bullish,nifty
490,pdh-r1,pp-bc,buy,bullish,nifty
491,r1-pdh,pp-bc,buy,bullish,nifty
492,r1-tc,pp-bc,buy,bullish,nifty
493,pdh-tc,pp-bc,sell,bullish,nifty
494,tc-pp,pp-bc,buy,bullish,nifty
495,pp-bc,pp-bc,buy,bullish,nifty
496,bc-pdl,pp-bc,buy,bullish,nifty
497,bc-s1,pp-bc,buy,bullish,nifty
498,pdl-s1,pp-bc,buy,bullish,nifty
499,s1-pdl,pp-bc,buy,bullish,nifty
500,pdl-s2,pp-bc,buy,bullish,nifty
501,s1-s2,pp-bc,sell,bullish,nifty
502,s2-s3,pp-bc,buy,bullish,nifty
503,< s3,pp-bc,buy,bullish,nifty
504,> r3,bc-pdl,buy,bullish,nifty
505,r3-r2,bc-pdl,buy,bullish,nifty
506,r2-pdh,bc-pdl,buy,bullish,nifty
507,r2-r1,bc-pdl,buy,bullish,nifty
508,pdh-r1,bc-pdl,buy,bullish,nifty
509,r1-pdh,bc-pdl,buy,bullish,nifty
510,r1-tc,bc-pdl,buy,bullish,nifty
511,pdh-tc,bc-pdl,buy,bullish,nifty
512,tc-pp,bc-pdl,buy,bullish,nifty
513,pp-bc,bc-pdl,buy,bullish,nifty
514,bc-pdl,bc-pdl,buy,bullish,nifty
515,bc-s1,bc-pdl,buy,bullish,nifty
516,pdl-s1,bc-pdl,sell,bullish,nifty
517,s1-pdl,bc-pdl,buy,bullish,nifty
518,pdl-s2,bc-pdl,buy,bullish,nifty
519,s1-s2,bc-pdl,buy,bullish,nifty
520,s2-s3,bc-pdl,buy,bullish,nifty
521,< s3,bc-pdl,sell,bullish,nifty
522,> r3,bc-s1,sell,bullish,nifty
523,r3-r2,bc-s1,buy,bullish,nifty
524,r2-pdh,bc-s1,buy,bullish,nifty
525,r2-r1,bc-s1,buy,bullish,nifty
